stateId	unique.str	composition	structure	fct	n
724	FASY acps  8 0	FASY acps 	8	0	15
725	LADE frex  6 0	LADE frex 	6	0	28
726	PIAB frex  7 0	PIAB frex 	7	0	61
727	FASY frex  5 1	FASY frex 	5	1	16
728	LADE frex  9 1	LADE frex 	9	1	44
729	piab fasy  2 0	piab fasy 	2	0	60
730	piab fasy frex  2 0	piab fasy frex 	2	0	15
731	FASY bepe  8 1	FASY bepe 	8	1	21
732	frex  7 0	frex 	7	0	27
733	piab frex  3 0	piab frex 	3	0	326
734	pisy fasy  6 2	pisy fasy 	6	2	65
735	abal lade fasy  7 2	abal lade fasy 	7	2	121
736	abal lade fasy  9 2	abal lade fasy 	9	2	93
737	PIAB fasy  10 0	PIAB fasy 	10	0	105
738	PIAB frex  9 0	PIAB frex 	9	0	55
739	fasy  4 1	fasy 	4	1	38
740	lade fasy bepe  7 1	lade fasy bepe 	7	1	14
741	PIAB bepe  6 0	PIAB bepe 	6	0	15
742	lade bepe  2 0	lade bepe 	2	0	14
743	piab fasy frex  8 0	piab fasy frex 	8	0	129
744	piab acps  8 2	piab acps 	8	2	48
745	fasy bepe  9 1	fasy bepe 	9	1	37
746	abal fasy  8 0	abal fasy 	8	0	125
747	lade fasy frex  6 1	lade fasy frex 	6	1	21
748	FASY bepe  7 1	FASY bepe 	7	1	17
749	piab frex  10 1	piab frex 	10	1	493
750	mix 2 0	mix	2	0	27
751	frex alin  5 0	frex alin 	5	0	13
752	PIAB fasy  11 1	PIAB fasy 	11	1	1375
753	piab fasy frex  9 0	piab fasy frex 	9	0	94
754	frex  7 1	frex 	7	1	86
755	frex  5 0	frex 	5	0	24
756	piab fasy frex  4 0	piab fasy frex 	4	0	39
757	PIAB abal  8 2	PIAB abal 	8	2	220
758	FREX piab  8 0	FREX piab 	8	0	20
759	pisy  6 2	pisy 	6	2	21
760	lade bepe  8 1	lade bepe 	8	1	178
761	fasy acps frex  9 1	fasy acps frex 	9	1	32
762	lade pisy fasy  9 1	lade pisy fasy 	9	1	33
763	PISY fasy  9 1	PISY fasy 	9	1	27
764	piab lade frex  8 0	piab lade frex 	8	0	34
765	FREX  3 0	FREX 	3	0	770
766	piab abal lade  8 2	piab abal lade 	8	2	92
767	FASY abal  8 0	FASY abal 	8	0	43
768	piab fasy  4 0	piab fasy 	4	0	208
769	piab fasy  11 2	piab fasy 	11	2	160770
770	piab lade fasy  11 1	piab lade fasy 	11	1	40
771	lade fasy  2 0	lade fasy 	2	0	23
772	frex  8 1	frex 	8	1	85
773	LADE piab  9 0	LADE piab 	9	0	60
774	piab pisy fasy  6 0	piab pisy fasy 	6	0	31
775	acps  7 1	acps 	7	1	32
776	PISY piab  8 1	PISY piab 	8	1	159
777	frex bepe  8 1	frex bepe 	8	1	15
778	PIAB acps  7 1	PIAB acps 	7	1	23
779	ACPS  7 0	ACPS 	7	0	15
780	LADE frex  8 1	LADE frex 	8	1	48
781	FREX fasy  5 1	FREX fasy 	5	1	23
782	piab lade bepe  7 1	piab lade bepe 	7	1	21
783	piab lade frex  9 0	piab lade frex 	9	0	27
784	lade frex  3 0	lade frex 	3	0	75
785	piab lade frex  3 0	piab lade frex 	3	0	32
786	LADE  6 2	LADE 	6	2	32
787	LADE piab  7 2	LADE piab 	7	2	46
788	abal fasy  9 0	abal fasy 	9	0	80
789	piab  2 0	piab 	2	0	61
790	FREX lade  3 0	FREX lade 	3	0	44
791	FREX fasy  6 1	FREX fasy 	6	1	33
792	FREX piab  3 0	FREX piab 	3	0	133
793	piab abal lade fasy  10 1	piab abal lade fasy 	10	1	18
794	FASY piab  4 1	FASY piab 	4	1	627
795	ACPS  6 2	ACPS 	6	2	52
796	FREX  3 1	FREX 	3	1	183
797	piab acps  8 0	piab acps 	8	0	14
798	BEPE frex  3 0	BEPE frex 	3	0	16
799	piab bepe  10 0	piab bepe 	10	0	19
800	piab frex  10 0	piab frex 	10	0	88
801	PIAB fasy  5 2	PIAB fasy 	5	2	163
802	bepe  8 0	bepe 	8	0	16
803	FASY abal  6 2	FASY abal 	6	2	149
804	FREX fasy  3 0	FREX fasy 	3	0	24
