id,model.climate.tableName,model.site.soilDepth,model.site.availableNitrogen
11007,106,7.59,53.118412877158
11008,106,5.4,55.1160613959976
11009,106,12.8,53.118412877158
11010,106,15.33,45.3076179319551
11011,106,16.35,55.1160613959976
11012,106,15.33,53.5572081808838
11013,106,13.98,53.5572081808838
11014,106,14.32,53.5572081808838
11015,106,14.32,44.352299403186
11016,106,16.01,48.0889528152101
11017,106,14.83,53.5572081808838
11018,106,15.5,48.0889528152101
11019,106,14.83,53.5572081808838
11020,106,15.17,53.5572081808838
11021,106,13.98,53.5572081808838
11022,106,14.32,44.352299403186
11023,106,15,53.118412877158
11024,106,15.67,53.118412877158
11025,106,13.48,45.3076179319551
11026,106,16.35,53.5572081808838
11027,141,11.62,53.5572081808838
11028,118,10.94,53.5572081808838
11029,118,12.29,53.5572081808838
11030,118,12.63,53.5572081808838
11031,152,8.27,48.0889528152101
11032,152,14.32,53.5572081808838
11033,56,14.15,54.9330208955358
11034,33,28.35,48.5590688300636
11035,33,8.78,55.1160613959976
11036,102,12.8,55.1160613959976
11037,102,7.93,48.0889528152101
11038,132,9.93,45.3076179319551
11039,132,9.59,53.1046035105106
11040,132,8.74,54.3745350677331
11041,104,3.71,52.5489831484312
11042,104,10.43,53.6104064817217
11043,110,11.28,53.6104064817217
11044,44,9.59,55.4886797156303
11045,44,8.91,55.4886797156303
11046,117,11.82,55.4886797156303
11047,80,9.76,56.578824507721
11048,109,10.77,51.0625020454319
11049,115,9.76,52.5489831484312
11050,115,3.54,54.493417002876
11051,144,11.95,51.8264366731325
11052,144,9.93,55.1160613959976
11053,144,10.77,55.1160613959976
11054,144,13.31,53.5572081808838
11055,112,11.45,48.0889528152101
11056,139,12.12,53.5572081808838
11057,141,12.63,48.0889528152101
11058,141,13.48,53.5572081808838
11059,141,12.63,53.5572081808838
11060,141,13.48,53.5572081808838
11061,141,13.48,53.5572081808838
11062,132,6.75,53.0828832158492
11063,132,12.8,53.0828832158492
11064,132,13.14,54.3745350677331
11065,132,12.29,54.3745350677331
11066,146,11.95,54.3745350677331
11067,146,13.64,53.6104064817217
